RepWeekDate,CoVHKU1,CoVNL63,CoVOC43,CoV229E
04/30/16,0.3411805,0.3582395,1.7229614,0.4094166
05/07/16,0.3365744,0.2243829,1.5893792,0.2804787
05/14/16,0.248376,0.3056935,1.490256,0.3056935
05/21/16,0.1811959,0.1811959,1.4898329,0.161063
05/28/16,0.1349528,0.179937,1.3720198,0.179937
06/04/16,0.1088139,0.2176279,1.3783098,0.2901705
06/11/16,0.0776197,0.1034929,1.3454075,0.1034929
06/18/16,0.0828958,0.1934236,1.0776458,0.0828958
06/25/16,0.0570125,0.0855188,1.2542759,0.0855188
07/02/16,0.0980072,0.0653381,0.8493956,0.1633453
07/09/16,0.2006881,0.1720183,0.9461009,0.2866972
07/16/16,0.0273075,0.0819224,0.6553796,0.3549973
07/23/16,0.0839161,0.0839161,0.8671329,0.2237762
07/30/16,0.0571592,0.0285796,0.6001715,0.2000572
08/06/16,0.0298063,0.2384501,0.2980626,0.2086438
08/13/16,0.1476669,0.1181335,0.5020673,0.2067336
08/20/16,0,0.1055409,0.3957784,0.0527704
08/27/16,0,0.3782148,0.8068583,0.2269289
09/03/16,0.0668151,0.0890869,0.8017817,0.2227171
09/10/16,0,0.195993,0.4573171,0.130662
09/17/16,0,0.2080575,0.359372,0.1513145
09/24/16,0.018018,0.1441441,0.5765766,0.1441441
10/01/16,0.0175778,0.0878889,0.5449112,0.1230445
10/08/16,0.0335514,0.1006543,0.8220097,0.1342057
10/15/16,0.0324939,0.1462226,0.6173842,0.0812348
10/22/16,0,0.1411543,0.5959849,0.2195734
10/29/16,0,0.2005554,0.8485035,0.2931194
11/05/16,0.0305018,0.1830105,1.0370596,0.2287632
11/12/16,0.0438468,0.1753873,1.2130956,0.1900029
11/19/16,0.0137363,0.1923077,1.6620879,0.2197802
11/26/16,0.0299985,0.2099895,1.9949003,0.3899805
12/03/16,0.0124316,0.2859274,2.759821,0.5469915
12/10/16,0.2886546,0.3890562,3.689759,0.502008
12/17/16,0.0347786,0.4173429,5.3790865,0.9390216
12/24/16,0.0959181,0.3623575,5.4460194,1.1829905
12/31/16,0.0913993,0.4661366,6.8640892,1.5263687
01/07/17,0.0353607,0.4773692,6.5240453,1.6442716
01/14/17,0.1227101,0.4382505,5.7323166,2.0773074
01/21/17,0.0787195,0.4110907,6.1313741,2.0554535
01/28/17,0.0512733,0.6750983,5.6827893,2.6149376
02/04/17,0.016419,0.8455792,4.7615138,3.3002217
02/11/17,0.0794849,0.7710039,4.6101264,3.9742469
02/18/17,0.0876634,0.8766337,3.5702901,4.2078419
02/25/17,0.0749688,0.6913786,3.1070387,3.8150771
03/04/17,0.0820195,0.7655154,2.8160029,3.2261004
03/11/17,0.0837209,0.7813953,2.2325581,2.772093
03/18/17,0.0493437,0.6710747,2.2303365,2.5954801
03/25/17,0.1512369,0.7885924,1.6744086,2.3981852
04/01/17,0.1378993,0.4826477,1.5743507,1.8041829
04/08/17,0.115848,0.4170528,1.0078777,1.1584801
04/15/17,0.0875985,0.5005631,1.0386685,1.0261544
04/22/17,0.1461017,0.5047151,0.6508168,0.6508168
04/29/17,0.0945435,0.4997299,0.6888169,0.5537547
